GEOID,NAME,racial_majority,total_filings_12months,eviction_rate_12months,SVI_numeric,ALAND,AWATER,estimated_population,SVI_normalized,eviction_rate_normalized
39049007398,73.98,Other,55,10.128137512853527,0.321,5430416,30912,5430.416,0.321,0.025916245280538153
39049007424,74.24,White,140,32.02907874303253,0.426,4371028,21415,4371.028,0.426,0.08195716732327765
39049007425,74.25,White,20,8.018583869977059,0.159,2494206,26075,2494.206,0.159,0.020518242975390146
39049007426,74.26,White,17,6.223611429918657,0.057,2731533,68090,2731.533,0.057,0.015925202451471228
39049007427,74.27,White,69,9.596098810334082,0.267,7190422,66804,7190.422,0.267,0.024554845369080158
39049007492,74.92,White,32,5.173924712928021,0.115,6184860,195291,6184.86,0.115,0.013239226042607516
39049007494,74.94,White,30,10.47318550315627,0.216,2864458,27479,2864.458,0.216,0.026799166581605992
39049007511,75.11,Black,55,32.10128597751626,0.949,1713327,2137,1713.327,0.949,0.0821419338114434
39049007512,75.12,Black,84,42.5205148829395,0.928,1975517,13400,1975.517,0.928,0.10880303429554845
39049007520,75.20,Black,73,28.755576809296954,0.757,2538638,30913,2538.638,0.757,0.0735808119535622
39049007531,75.31,Black,96,50.01753218706349,0.949,1919327,2355,1919.327,0.949,0.12798667384226065
39049007532,75.32,Black,68,80.6492740972322,0.846,843157,12935,843.157,0.846,0.20636828504240404
39049007533,75.33,Black,37,17.502348625971027,0.955,2114002,18586,2114.002,0.955,0.04478564389558313
39049007534,75.34,Black,24,10.415428026354505,0.958,2304274,14767,2304.274,0.958,0.026651374657011773
39049007550,75.50,Black,109,17.93881973757317,0.57,6076208,68583,6076.208,0.57,0.04590250199232546
39049007552,75.52,Black,19,12.644303109234135,0.88,1502653,13158,1502.653,0.88,0.03235470098668299
39049007553,75.53,Black,348,258.68239971039463,0.724,1345279,19245,1345.279,0.724,0.6619258982359507
39049007710,77.10,Other,126,61.90441565179454,0.919,2035396,0,2035.396,0.919,0.15840326199602361
39049007721,77.21,Black,274,127.46023845298623,0.987,2149690,15318,2149.69,0.987,0.3261498769217238
39049007722,77.22,White,99,55.232251618053915,0.886,1792431,0,1792.431,0.886,0.14133028688772173
39049007730,77.30,White,28,19.32591218305504,0.617,1448832,1038,1448.832,0.617,0.04945184440580159
39049007740,77.40,White,3,1.6990650045280085,0.396,1765677,2942,1765.677,0.396,0.004347629102492355
39049007811,78.11,White,47,21.423778753446037,0.152,2193824,2283,2193.824,0.152,0.0548199414063701
39049007812,78.12,White,118,28.37063591097391,0.387,4159230,86246,4159.23,0.387,0.07259581123385535
39049007820,78.20,Other,64,31.78038167245252,0.595,2013821,85170,2013.821,0.595,0.08132079224705824
39049007830,78.30,White,58,51.68483656007115,0.134,1122186,0,1122.186,0.134,0.13225303268991082
39049007922,79.22,White,40,5.054914697682612,0.225,7913091,48148,7913.091,0.225,0.012934698903039521
39049007931,79.31,White,7,1.707085575712172,0.229,4100556,101458,4100.556,0.229,0.0043681524306793
39049007941,79.41,White,25,3.326677760028104,0.162,7515005,246662,7515.005,0.162,0.00851242360096167
39049007955,79.55,White,4,2.7948027847414947,0.193,1431228,6045,1431.228,0.193,0.007151442640680025
39049007956,79.56,White,12,2.9297897851414243,0.128,4095857,9118,4095.857,0.128,0.007496852268818362
39049007957,79.57,White,39,9.099724581669328,0.269,4285844,136226,4285.844,0.269,0.02328470500569272
39049007958,79.58,White,1,0.25380343482340484,0.223,3940057,84281,3940.057,0.223,6.494414260843936e-4
39049007959,79.59,White,18,4.991100590364015,0.093,3606419,48971,3606.419,0.093,0.012771409052805112
39049007960,79.60,White,7,4.563706407639384,0.217,1533841,25721,1533.841,0.217,0.011677777330594623
39049007961,79.61,White,3,0.45646905664735343,0.024,6572187,88380,6572.187,0.024,0.0011680295631882344
39049007962,79.62,White,20,6.111143364367756,0.24,3272710,30376,3272.71,0.24,0.015637415089841736
39049007963,79.63,White,2,0.6721938929840434,0.028,2975332,428992,2975.332,0.028,0.0017200340916131696
39049007964,79.64,White,33,12.933401214093646,0.042,2551533,13532,2551.533,0.042,0.033094455693426394
39049007965,79.65,White,204,42.29862330421916,0.197,4822852,23100,4822.852,0.197,0.1082352500832484
39049007966,79.66,White,117,36.87938612528148,0.824,3172504,24115,3172.504,0.824,0.09436830961324377
39049008001,80.01,White,22,0.4487211467713432,0.096,49028222,507313,49028.222,0.096,0.0011482039306370023
39049008002,80.02,White,1,0.11447714624043315,0.025,8735368,91128,8735.368,0.025,2.9292827010079e-4
39049008110,81.10,White,30,14.579831136395777,0.547,2057637,0,2057.637,0.547,0.03730740024018519
39049008120,81.20,White,85,42.184250882147126,0.763,2014970,351,2014.97,0.763,0.1079425897851446
39049008132,81.32,White,187,70.58430974961821,0.452,2649314,8943,2649.314,0.452,0.18061368954628265
39049008163,81.63,Other,89,98.56384722382188,0.882,902968,8755,902.968,0.882,0.25220874392792214
39049008164,81.64,White,150,115.52190872999064,0.662,1298455,0,1298.455,0.662,0.2956016462180589
39049008165,81.65,White,13,9.801134971429692,0.207,1326377,15688,1326.377,0.207,0.025079499327973397
39049008166,81.66,White,75,10.572937621641648,0.059,7093582,56349,7093.582,0.059,0.027054415917097292
39049008167,81.67,White,105,14.199620153399172,0.577,7394564,85948,7394.564,0.577,0.03633450259921325
39049008168,81.68,White,112,11.045533733503817,0.255,10139845,61407,10139.845,0.255,0.028263711973564226
39049008169,81.69,White,126,53.48587845461468,0.735,2355762,5126,2355.762,0.735,0.1368616039539047
39049008170,81.70,White,90,2.698087919053525,0.177,33356956,249670,33356.956,0.177,0.006903965137707463
39049008171,81.71,White,166,122.74919750863496,0.294,1352351,27696,1352.351,0.294,0.31409509463963897
39049008172,81.72,White,108,15.974041590783806,0.175,6760969,36774,6760.969,0.175,0.04087495647278521
39049008210,82.10,White,68,9.108401361706004,0.832,7465635,10360,7465.635,0.832,0.02330690746487047
39049008230,82.30,Black,201,179.8503215831123,0.984,1117596,0,1117.596,0.984,0.46020752009106447
39049008241,82.41,White,54,13.388633347812892,0.938,4033272,351898,4033.272,0.938,0.03425932017340389
39049008242,82.42,White,171,31.75666151688758,0.421,5384697,107945,5384.697,0.421,0.08126009625345296
39049008311,83.11,White,125,50.185828084230295,0.953,2490743,0,2490.743,0.953,0.12841731548245836
39049008312,83.12,Other,97,63.78716917803985,0.945,1520682,0,1520.682,0.945,0.16322091994419502
39049008321,83.21,White,23,20.848932262725555,0.787,1103174,0,1103.174,0.787,0.05334900337524031
39049008322,83.22,White,103,61.45104410096824,0.611,1676131,2425,1676.131,0.611,0.15724315844297443
39049008330,83.30,White,30,19.028988761479237,0.745,1576542,0,1576.542,0.745,0.04869206599507906
39049008340,83.40,White,118,14.409441847827745,0.708,8189075,430198,8189.075,0.708,0.03687140195421194
39049008350,83.50,Other,189,42.14151119459144,0.79,4484889,38882,4484.889,0.79,0.10783322592387186
39049008360,83.60,White,43,10.23007437264069,0.265,4203293,16288,4203.293,0.265,0.026177085011240785
39049008380,83.80,White,52,5.17466329610329,0.561,10048963,1543953,10048.963,0.561,0.013241115956000386
39049008381,83.81,White,57,16.58417735642976,0.483,3437011,16372,3437.011,0.483,0.04243619397936942
39049008382,83.82,White,28,8.600227045994014,0.206,3255728,36363,3255.728,0.206,0.022006572611147596
39049008400,84,White,8,3.6489874743943704,0.049,2192389,653,2192.389,0.049,0.009337161377597854
39049008500,85,White,31,10.034668159997928,0.097,3089290,46816,3089.29,0.097,0.025677072513408495
39049008710,87.10,Black,82,52.062963169897955,0.72,1575016,0,1575.016,0.72,0.1332205967612846
39049008720,87.20,Other,143,50.24606517090338,0.783,2845994,986,2845.994,0.783,0.12857145232264475
39049008730,87.30,Black,292,62.62451179153072,0.944,4662711,93440,4662.711,0.944,0.16024587009245672
39049008811,88.11,White,25,4.78703991280694,0.369,5222434,2858,5222.434,0.369,0.012249251196538807
39049008812,88.12,Black,40,4.732642943268508,0.458,8451937,103204,8451.937,0.458,0.012110058259704482
39049008813,88.13,Black,50,25.296730650530726,0.743,1976540,806,1976.54,0.743,0.0647301910645319
39049008821,88.21,White,36,8.929585751556104,0.694,4031542,824077,4031.542,0.694,0.022849347601889478
39049008822,88.22,White,162,31.72212359644289,0.951,5106846,787592,5106.846,0.951,0.08117171937107076
39049008825,88.25,White,38,8.654530282201458,0.34,4390764,0,4390.764,0.34,0.02214552569973798
39049008900,89,White,21,13.496404172316947,0.377,1555970,12743,1555.97,0.377,0.0345350880644291
39049009000,90,White,4,1.522529439058285,0.183,2627207,37968,2627.207,0.183,0.003895903500460828
