GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
1400000US39049006321,Census Tract 63.21; Franklin County; Ohio,4400,452
1400000US39049006323,Census Tract 63.23; Franklin County; Ohio,3465,347
1400000US39049006330,Census Tract 63.30; Franklin County; Ohio,4637,559
1400000US39049006340,Census Tract 63.40; Franklin County; Ohio,3548,457
1400000US39049006351,Census Tract 63.51; Franklin County; Ohio,4313,606
1400000US39049006352,Census Tract 63.52; Franklin County; Ohio,3594,422
1400000US39049006353,Census Tract 63.53; Franklin County; Ohio,5538,837
1400000US39049006372,Census Tract 63.72; Franklin County; Ohio,7311,729
1400000US39049006384,Census Tract 63.84; Franklin County; Ohio,5871,570
1400000US39049006386,Census Tract 63.86; Franklin County; Ohio,5360,506
1400000US39049006387,Census Tract 63.87; Franklin County; Ohio,5958,546
1400000US39049006391,Census Tract 63.91; Franklin County; Ohio,5431,664
1400000US39049006392,Census Tract 63.92; Franklin County; Ohio,4524,456
1400000US39049006393,Census Tract 63.93; Franklin County; Ohio,5463,805
1400000US39049006394,Census Tract 63.94; Franklin County; Ohio,2754,425
1400000US39049006395,Census Tract 63.95; Franklin County; Ohio,3890,509
1400000US39049006396,Census Tract 63.96; Franklin County; Ohio,5327,671
1400000US39049006397,Census Tract 63.97; Franklin County; Ohio,6589,1151
1400000US39049006398,Census Tract 63.98; Franklin County; Ohio,3665,628
1400000US39049006410,Census Tract 64.10; Franklin County; Ohio,3136,513
1400000US39049006430,Census Tract 64.30; Franklin County; Ohio,4986,536
1400000US39049006500,Census Tract 65; Franklin County; Ohio,3731,734
1400000US39049006600,Census Tract 66; Franklin County; Ohio,4025,383
1400000US39049006710,Census Tract 67.10; Franklin County; Ohio,2844,369
1400000US39049006721,Census Tract 67.21; Franklin County; Ohio,4016,507
1400000US39049006722,Census Tract 67.22; Franklin County; Ohio,2839,291
1400000US39049006810,Census Tract 68.10; Franklin County; Ohio,2511,319
1400000US39049006821,Census Tract 68.21; Franklin County; Ohio,3599,530
1400000US39049006822,Census Tract 68.22; Franklin County; Ohio,2146,240
1400000US39049006910,Census Tract 69.10; Franklin County; Ohio,1779,266
1400000US39049006921,Census Tract 69.21; Franklin County; Ohio,3736,493
1400000US39049006923,Census Tract 69.23; Franklin County; Ohio,4543,685
1400000US39049006924,Census Tract 69.24; Franklin County; Ohio,3837,581
1400000US39049006931,Census Tract 69.31; Franklin County; Ohio,7220,1655
1400000US39049006932,Census Tract 69.32; Franklin County; Ohio,7048,1186
1400000US39049006933,Census Tract 69.33; Franklin County; Ohio,5972,692
